"","datetime","city","country","shape"
"47999",2013-05-19,"eddington","us","cigar"
"57045",2010-06-23,"vashon","us","diamond"
"34630",2009-03-13,"niagara falls (canada)","ca","disk"
"28084",2012-01-08,"westerly","us","fireball"
"55348",2011-06-17,"burlington","us","light"
"57743",2008-06-26,"east brunswick","us","light"
"86221",2013-09-26,"blaine","us","light"
"87624",2010-09-04,"naperville","us","light"
"72552",2007-08-12,"sacramento","us","sphere"
"19133",1996-12-01,"seattle (west)","us","triangle"
"20187",1983-12-15,"garner","us","triangle"
"34063",2005-03-01,"las vegas","us","triangle"
"38292",2003-03-03,"miami beach","us","unknown"
"1753",2008-10-14,"shelbyville","us","disk"
"12517",2012-01-01,"norfolk","us","egg"
"12584",2013-01-01,"farmington","us","egg"
"72942",2010-08-13,"omaha","us","fireball"
"72851",2006-08-13,"socastee","us","sphere"
"47949",2010-05-19,"sarasota","us","changing"
"20476",1998-12-16,"lubbock","us","chevron"
"67978",2013-07-31,"rothsay","us","cigar"
"35045",1999-03-15,"new york city (bronx)","us","circle"
"37583",2000-03-28,"prescott valley","us","circle"
"41104",2007-04-15,"irvine","us","circle"
"51738",2009-06-10,"waltonville","us","circle"
"82294",2003-09-14,"london (uk/england)","gb","circle"
"35346",2004-03-16,"dubai (uae)",NA,"diamond"
"6563",2010-10-31,"college station","us","disk"
"17944",2010-11-08,"indianapolis","us","disk"
"28743",2003-02-01,"spokane","us","disk"
"54741",2003-06-15,"lake charles","us","disk"
"78572",2008-08-31,"philadelphia","us","disk"
"58424",2013-06-29,"monrowville",NA,"egg"
"57992",2012-06-27,"parma","us","fireball"
"68166",2010-07-03,"wausau","us","fireball"
"68174",2010-07-03,"seattle","us","fireball"
"2294",2003-10-15,"tuolumne","us","light"
"22728",2006-12-25,"image in movie (pirates of the caribbean&#44 black pearl)",NA,"light"
"26430",2004-01-29,"myrtle beach","us","light"
"32972",2013-02-06,"ladson","us","light"
"65169",2008-07-21,"boynton beach","us","light"
"74321",2010-08-16,"antioch","us","light"
"74377",2013-08-16,"parker","us","light"
"64158",2013-07-17,"dallas","us","other"
"9675",2007-11-12,"east london (south africa)",NA,"oval"
"60566",2003-06-09,"lenexa","us","sphere"
"63735",2002-07-16,"broomfield","us","teardrop"
"37190",2008-03-25,"freer","us","unknown"
"51124",2006-05-07,"palmdale","us","unknown"
"54259",1979-06-15,"sagamore hills","us","unknown"
"55548",2010-06-18,"cape may courthouse",NA,"unknown"
"55641",2001-06-19,"riverview (canada)","ca","unknown"
"72533",2006-08-12,"peterborough (canada)","ca","unknown"
"76408",1996-08-23,"carlisle (canada)",NA,"unknown"
"78581",2008-08-31,"new york city (brooklyn)","us",NA
"36758",1987-03-23,"apache junction","us","changing"
"51660",2002-06-10,"turin (italy)",NA,"changing"
"87071",2005-09-30,"pueblo","us","triangle"
"62781",1957-07-15,"salt  lake city","us","disk"
"34618",2008-03-13,"simi valley","us","sphere"
"9512",2013-11-01,"cincinnati","us","circle"
"2346",2005-10-15,"fairbanks","us","light"
"19283",2003-12-01,"stevens point","us","light"
"5209",2006-10-26,"strawberry","us","triangle"
"20028",2001-12-14,"augusta","us","light"
"32940",2012-02-06,"maineville","us","triangle"
"39463",2011-03-09,"rolla","us","triangle"
"44562",2005-04-04,"morehead city","us","triangle"
"192",2007-10-10,"vero beach","us","unknown"
"50305",2005-05-03,"portland","us","circle"
"55794",2010-06-19,"bryant","us","sphere"
"9407",2011-01-11,"waxhaw","us",NA
"38764",1988-03-06,"shell beach","us","fireball"
"24267",2000-12-03,"new forest (uk/england)","gb","cigar"
"29505",1978-02-15,"lima (peru)",NA,"circle"
"74744",2003-08-18,"ridgefield","us","cylinder"
"39300",2012-03-08,"baraboo","us","diamond"
"49851",2009-05-29,"victoria (canada)","ca","disk"
"31392",2011-02-23,"van nuys","us","light"
"37335",2008-03-26,"hatteras village",NA,"light"
"71041",2010-07-09,"nason","us","light"
"81368",1999-09-01,"donner summit (15 miles west of; interstate 80)",NA,"light"
"39603",2004-04-10,"phoenix","us","oval"
"53289",1957-06-12,"green lake",NA,"oval"
"5090",2013-10-25,"sarasota","us","rectangle"
"3393",2013-10-19,"silver creek","us","triangle"
"28309",1994-02-10,"lewiston (near)","us","triangle"
"43832",2003-04-28,"cheboygan","us","unknown"
"73562",1988-08-15,"sutcliff",NA,"unknown"
"73912",2005-08-15,"elko","us","unknown"
"20817",1997-12-18,"oxnard","us","cigar"
"16497",2004-01-15,"charestown",NA,"circle"
"21282",2013-01-02,"chico","us","circle"
"21510",2000-12-21,"gilbert","us","circle"
"41126",2009-04-15,"tampa","us","circle"
"45779",2009-05-10,"tobay beach",NA,"circle"
"54400",1990-06-15,"nr watford (uk/wales)",NA,"circle"
"56461",2002-06-02,"highland","us","circle"
"57791",2011-06-26,"lebanon","us","circle"
"69288",2012-07-04,"roswell","us","circle"
"81442",2003-09-01,"van nuys","us","circle"
"81447",2003-09-01,"cypress","us","circle"
"88485",2007-09-08,"onalaska","us","circle"
"73436",1976-08-15,"mcdermitt (ne of;  lat 42 05&#39n  lon 117 00&#39w",NA,"cylinder"
"83752",2013-09-18,"melville","us","cylinder"
"25647",1982-12-07,"pickering (canada)","ca","disk"
"26142",2006-12-08,"newport beach","us","disk"
"68011",1996-07-03,"beach","us","disk"
"23511",2007-12-29,"west sussex (uk/england)","gb","fireball"
"67288",2002-07-29,"terrace (canada)","ca","fireball"
"75571",2011-08-20,"ventura","us","fireball"
"36610",2001-03-22,"moretown","us","formation"
"72296",2013-08-01,"tulsa","us","formation"
"72370",1997-08-12,"newfoundland (canada) (on ferry boat) (canada)",NA,"formation"
"2411",2009-10-15,"davis","us","light"
"3112",2011-10-18,"chesapeake","us","light"
"4455",2004-10-23,"grapevine","us","light"
"4456",2004-10-23,"manhattan","us","light"
"4663",1998-10-24,"milwaukee","us","light"
"24457",2009-12-03,"vero beach","us","light"
"29149",2006-02-13,"evergreen","us","light"
"34092",2007-03-01,"montgomery","us","light"
"34357",2010-03-12,"tukwila","us","light"
"40618",1999-04-14,"new york city (brooklyn)","us","light"
"42970",2010-04-23,"ogden","us","light"
"45519",2007-04-09,"london (uk/england)","gb","light"
"50876",2000-05-06,"triborough bridge (looking over the bronx)",NA,"light"
"55866",1975-06-20,"east grand forks","us","light"
"61089",2003-07-11,"madill","us","light"
"69254",2011-07-04,"hillsboro","us","light"
"79210",2013-08-04,"missoula","us","light"
"80408",2004-08-09,"sacramento","us","light"
"80870",1999-09-11,"fargo","us","light"
"25810",2008-01-27,"ellicott city","us","other"
"26509",2009-12-09,"belton","us","other"
"44527",2001-04-04,"charlottesville","us","other"
"48934",2001-05-24,"winchester (uk/england)","gb","other"
"53977",1959-06-15,"minneapolis","us","other"
"78232",2003-08-30,"springfield","us","other"
"6984",2006-10-04,"raven","us","oval"
"14482",2004-11-26,"uk/england",NA,"oval"
"41349",2008-04-16,"grand junction","us","oval"
"50161",2007-05-31,"five islands (canada)","ca","oval"
"44498",1986-04-04,"knoxville","us","rectangle"
"15664",2009-01-13,"san francisco","us","sphere"
"37546",2013-03-27,"gulf shores","us","sphere"
"42321",2004-04-21,"lawrence","us","sphere"
"88181",1999-09-07,"gulfport","us","sphere"
"2849",2007-10-17,"livermore","us","triangle"
"6476",2005-10-31,"fairfield","us","triangle"
"6498",2006-10-31,"valencia","us","triangle"
"13835",1998-11-23,"sycamore","us","triangle"
"26909",2013-01-31,"glenside","us","triangle"
"26921",2014-01-31,"decatur","us","triangle"
"31348",2005-02-23,"ft. shawnee","us","triangle"
"35255",2012-03-15,"salt lake city","us","triangle"
"37230",2012-03-25,"attleboro","us","triangle"
"41253",2003-04-16,"cement city","us","triangle"
"43379",2012-04-25,"circleville","us","triangle"
"51127",2006-05-07,"brookville/trotwood",NA,"triangle"
"57085",2012-06-23,"ypsilanti","us","triangle"
"73591",1993-08-15,"st. augustine","us","triangle"
"77295",2004-08-26,"westerly","us","triangle"
"20336",2005-12-15,"brighton","us","unknown"
"24733",2007-12-04,"current",NA,"unknown"
"50589",2014-05-04,"clermont","us","unknown"
"51162",2010-05-07,"oakland","us","unknown"
"72911",2009-08-13,"davis","us","unknown"
"84918",2011-09-02,"sacramento","us","unknown"
"87223",2013-09-30,"north harringay (uk/england)",NA,"unknown"
"26757",2014-01-30,"hot springs","us",NA
"32105",1996-02-28,"tri-cities",NA,NA
"45222",2013-04-07,"plantation","us",NA
"44975",2009-04-06,"nashville","us","oval"
"4235",2005-10-22,"irmo","us","circle"
"81688",2013-09-01,"bozrah",NA,"circle"
"37867",2013-03-29,"rochester","us","triangle"
"14599",1981-11-27,"north bergen","us","fireball"
"12531",2012-01-01,"deming","us","unknown"
"55323",2010-06-17,"wikieup/nothing (between)",NA,"diamond"
"13454",2011-01-12,"cleveland","us","flash"
"86825",2008-09-29,"meridian","us","other"
"86881",2012-09-29,"petaluma","us","other"
"1022",2011-10-01,"wilmington","us","triangle"
"73163",2007-08-14,"simpsonville","us","sphere"
"7721",2012-10-07,"knoxville","us","flash"
"34573",2005-03-13,"boulder city","us","triangle"
"88020",2003-09-06,"beach haven terrace","us","light"
"2860",2008-10-17,"camp hill","us","light"
"81234",1983-09-01,"boulder","us","triangle"
"48447",2001-05-02,"independence","us","disk"
"25963",2013-01-27,"old bridge","us","light"
"4945",2003-10-25,"san lorenzo","us","changing"
"61191",2010-07-11,"williamsburg","us","light"
"51820",1995-06-11,"ogden","us",NA
"12191",2003-01-01,"marion","us","triangle"
"43561",2013-04-26,"prattville","us","light"
"58207",2013-06-28,"oak harbor","us","cylinder"
"8838",2007-11-11,"springfield","us","flash"
"40645",2003-04-14,"houston (canada)","ca","light"
"50050",2011-05-30,"san antonio","us","oval"
"43460",2004-04-26,"kelowna (canada)","ca","triangle"
"70872",1994-07-09,"clovis (on herndon ave&#44 between maine &amp; locan avenues)","us","triangle"
"20470",1996-12-16,"everett","us",NA
"36198",2012-03-20,"sandwich","us",NA
"60302",1994-06-08,"idaho falls","us","changing"
"60306",1997-06-08,"santa clara","us","changing"
"60630",2009-06-09,"stilwell","us","changing"
"61366",1974-07-01,"mishawaka","us","circle"
"6152",2009-10-30,"anaheim","us","diamond"
"33570",2004-03-10,"los banos","us","disk"
"3244",2004-10-19,"grand island","us","light"
"48290",2001-05-21,"budapest (hungary)",NA,"light"
"86607",2011-09-28,"kent","us","light"
"33624",2008-03-10,"dublin","us","other"
"48386",2011-05-21,"toronto (canada)","ca","oval"
"59052",2006-06-30,"orlando","us","sphere"
"16211",2013-11-04,"clearwater","us","triangle"
"34595",2006-03-13,"minneapolis","us","triangle"
"53030",1999-06-01,"townsend","us","unknown"
"87637",2010-09-04,"everett","us","light"
"18091",2014-01-18,"lake havasu city","us","fireball"
"85772",1976-09-25,"akron","us","light"
"21171",2004-01-02,"long beach/lakewood city limt",NA,"triangle"
"20182",1978-12-15,"sisters (near)","us","other"
"5682",2009-10-28,"santa clarita county (126 freeway)","us","unknown"
"16473",2004-11-05,"park ridge","us","circle"
"13157",1978-01-12,"grand rapids","us","disk"
"70020",2002-07-06,"salt lake city","us","other"
"18905",2013-12-10,"great falls","us",NA
"68293",2012-07-03,"nags head","us","sphere"
"7089",1968-10-05,"london mills","us","disk"
"83473",2010-09-17,"barendracht (netherlands)",NA,"disk"
"61638",2001-07-01,"pembroke pines","us","fireball"
"41193",2014-04-15,"san juan (puerto rico)",NA,"formation"
"69832",2008-07-05,"athens","us","light"
"44203",2003-04-30,"pottstown","us","cylinder"
"35029",1998-03-15,"bozeman","us","triangle"
"78727",2000-08-03,"bridgeport","us","circle"
"14293",2003-11-25,"manitowoc","us","formation"
"11654",2012-11-18,"santa clara","us","light"
"57427",2001-06-25,"punta gorda","us","light"
"76811",2010-08-24,"redding","us","light"
"64441",2013-07-18,"myrtle beach","us","circle"
"82324",2006-09-14,"south hill","us","circle"
"53540",2001-06-13,"hamburg","us","light"
"60245",2011-06-07,"mount pulaski","us","light"
"36625",2003-03-22,"el dorado","us","sphere"
"63667",1967-07-16,"barboursville","us","sphere"
"10394",1997-11-15,"hubbard","us","triangle"
"11348",2010-11-17,"moncks corner","us","unknown"
"64128",2012-07-17,"belmont","us","sphere"
"5758",1987-10-29,"kerens","us","circle"
"30296",2014-02-18,"tampa","us","circle"
"49583",1987-05-28,"burnside","us","circle"
"82214",2013-09-13,"green bay","us","circle"
"82216",2013-09-13,"roswell","us","circle"
"36815",2004-03-23,"lynchburg","us","diamond"
"4821",2012-10-24,"lexington","us","disk"
"55338",2011-06-17,"yacolt","us","disk"
"30366",2005-02-19,"la veta","us","flash"
"35546",2004-03-17,"mount pleasant","us","formation"
"39446",2009-03-09,"vienna","us","formation"
"73039",1978-08-14,"saginaw","us","formation"
"73051",1995-08-14,"burgess hill (uk/england)","gb","formation"
"82419",2012-09-14,"las vegas","us","formation"
"19870",2006-12-13,"florence","us","light"
"52640",1988-06-01,"davis","us","light"
"41227",1999-04-16,"bettendorf/davenport",NA,"other"
"64377",2011-07-18,"lynnwood","us","other"
"32505",NA,"garden bay (canada)",NA,"oval"
"44236",2006-04-30,"bear river/evanston",NA,"sphere"
"49655",2006-05-28,"adkins","us","sphere"
"66973",2013-07-27,"pittsburgh","us","sphere"
"11580",2006-11-18,"elkhorn","us","triangle"
"33720",2014-03-10,"cary","us","triangle"
"35803",2012-03-18,"alexandria","us","triangle"
"38927",2014-03-06,"albuquerque","us","triangle"
"74878",2012-08-18,"erie","us",NA
"45947",2011-05-11,"pottsville","us","unknown"
"66901",2010-07-27,"cranston","us","other"
"22937",2002-12-26,"manchester (uk/england)","gb","other"
"14421",2013-11-25,"leawood","us","cigar"
"51855",2001-06-11,"puyallup","us","circle"
"70144",2010-07-06,"seattle","us","circle"
"75308",1996-08-20,"romford (essex) (uk/england)","gb","disk"
"65331",2003-07-02,"new berlin","us","light"
"1995",1982-10-15,"concord","us","rectangle"
"22671",2001-12-25,"vancouver (canada)","ca","triangle"
"66170",2012-07-24,"east palestine","us","egg"
"29481",1954-02-15,"burney","us","disk"
"34380",2012-03-12,"ocala","us","cigar"
"3017",2003-10-18,"north bend","us","disk"
"88809",2011-09-09,"double springs","us","sphere"
"22617",2013-12-24,"mesa","us","unknown"
"31062",2014-02-02,"nanaimo (canada)","ca","changing"
"47714",2005-05-18,"black mesa/shonto",NA,"disk"
"23189",2012-12-27,"new york city (manhattan)","us","fireball"
"32252",2014-02-28,"princeton","us","light"
"79457",2013-08-05,"philomath","us","light"
"73168",2007-08-14,"queensbury","us","circle"
"30234",2008-02-18,"white earth","us","diamond"
"60975",2010-07-10,"spring hill","us","diamond"
"50131",2004-05-31,"gold canyon",NA,"disk"
"53111",2004-06-01,"bradford","us","disk"
"53137",2005-06-01,"tasmania (australia)",NA,"disk"
"85544",2013-09-23,"montgomery","us","disk"
"65768",2001-07-23,"washington&#44 d.c.",NA,"fireball"
"74307",2009-08-16,"saginaw/azle",NA,"fireball"
"82810",2001-09-15,"nenana","us","fireball"
"31232",2014-02-22,"washington&#44 d.c.",NA,"formation"
"22850",2013-12-25,"lancaster","us","light"
"27450",2007-01-05,"nevada","us","light"
"28081",2012-01-08,"rotterdam (netherlands)",NA,"light"
"46396",1999-05-12,"bloomington","us","light"
"78228",2003-08-30,"alhambra","us","light"
"88009",2002-09-06,"rodney (canada)","ca","light"
"59939",2005-06-06,"chicago","us","other"
"64935",2009-07-20,"davis","us","other"
"37853",2012-03-29,"bishop","us","oval"
"46425",2002-05-12,"montreal (canada)","ca","oval"
"48723",2012-05-22,"cape fear","us","oval"
"73995",2009-08-15,"collbran/the flat tops",NA,"oval"
"74195",2001-08-16,"lowville","us","oval"
"72211",2008-08-01,"wickenburg","us","sphere"
"20430",2012-12-15,"bonita","us","triangle"
"44570",2006-04-04,"vancouver (canada)","ca","triangle"
"46130",1997-05-01,"cedar rapids","us","triangle"
"68476",1997-07-04,"auburn","us","triangle"
"25544",2010-12-06,"sandestin","us","unknown"
"25629",2013-12-06,"coral springs","us","unknown"
"27979",2003-01-08,"cincinnati","us","unknown"
"57275",2009-06-24,"georgetown","us","unknown"
"49456",2001-05-27,NA,NA,NA
"9876",2005-11-13,"thorne&#44 doncaster (uk/england)",NA,"chevron"
"22032",2007-12-22,"tucson","us","circle"
"45581",2012-04-09,"dysart","us","light"
"48712",2011-05-22,"americus","us","oval"
"21341",1999-12-20,"villetaneuse (france)",NA,"triangle"
"84201",2000-09-20,"phoenix","us","triangle"
"34768",2004-03-14,"little rock","us","unknown"
"60615",2008-06-09,"baltimore","us",NA
"60160",2004-06-07,"bastrop","us","fireball"
"68031",2000-07-03,"meridian","us","other"
"27327",2014-01-04,"prineville","us","oval"
"33025",2002-02-07,"racine","us","triangle"
"57118",2013-06-23,"roxboro","us","triangle"
"55939",1997-06-20,"alamosa (west of)","us","light"
"2323",2005-10-15,"arlington","us","light"
"73200",2009-08-14,"chebanse","us","triangle"
"4572",2011-10-23,"tacoma","us",NA
"65573",2003-07-22,"prince rupert (canada)","ca","light"
"19481",2011-12-01,"myrtle beach/conway",NA,"light"
"31685",2006-02-25,"louisville","us","changing"
"37358",2011-03-26,"italy/waxachacie (somewhere in between)",NA,"changing"
"9965",2012-11-13,"orlando","us","circle"
"79231",1991-08-05,"mt. hood",NA,"circle"
"79259",2000-08-05,"fontana","us","circle"
"3094",2009-10-18,"senekal (south africa)",NA,"light"
"67399",2010-07-29,"kernersville","us","light"
"82655",1992-09-15,"maccan (canada)","ca","sphere"
"43600",2000-04-27,"palm springs (outside of)","us","triangle"
"72007",1996-08-01,"newberg","us","other"
"30849",2014-02-21,"palmer","us","light"
"42856",1996-04-23,"goose eye (uk/england)",NA,"light"
"83613",2004-09-18,"sedona",NA,"triangle"
"88721",2004-09-09,"racine","us","rectangle"
"55193",1977-06-17,"lake worth","us","cigar"
"65703",2012-07-22,"frederick","us","circle"
"67223",2012-07-28,"lincoln city","us","circle"
"49461",2002-05-27,"montevideo (uruguay)",NA,"diamond"
"5007",2008-10-25,"indianapolis","us","fireball"
"6942",2003-10-04,"lawrenceville","us","formation"
"59197",2012-06-30,"rockaway",NA,"light"
"70438",2004-07-07,"placerville","us","light"
"3899",2011-10-21,"buffalo","us","oval"
"43927",2012-04-28,"holly","us","triangle"
"64847",2004-07-20,"atwater","us","triangle"
"2954",1960-10-18,"burnsville","us",NA
"41665",2000-04-18,"cocoa beach (near)","us","cylinder"
"69822",2008-07-05,"oregon","us","unknown"
"71880",1977-08-01,"whittier","us","chevron"
"83417",2007-09-17,"clear lake","us","light"
"13787",2013-11-22,"damascus","us","changing"
"68184",2010-07-03,"red bank","us","changing"
"85670",2007-09-24,"corona","us","circle"
"45872",2003-05-11,"eureka springs","us","cylinder"
"14926",2007-11-28,"kings mountain","us","diamond"
"82593",1978-09-15,"braceville","us","diamond"
"68176",2010-07-03,"montour falls","us","disk"
"74493",2003-08-17,"saskatoon (canada)","ca","disk"
"14091",2004-11-24,"antioch","us","fireball"
"66963",2013-07-27,"lanexa","us","flash"
"18641",2011-01-20,"colorado springs","us","light"
"23994",2011-12-31,"fort erie (niagara) (canada)","ca","light"
"58934",2002-06-30,"travelers rest","us","light"
"62220",2002-07-13,"northport","us","light"
"86914",2013-09-29,"ewing","us","other"
"88730",2005-09-09,"beaverton","us","other"
"19487",2012-01-21,"long beach","us","sphere"
"54052",1967-06-15,"china lake","us","sphere"
"62380",2012-07-13,"gulfport","us","triangle"
"71746",2012-08-11,"mount vernon","us","triangle"
"17755",2003-11-08,"bearlake",NA,"unknown"
"56213",1995-06-21,"oregon city","us",NA
"32335",2001-02-03,"el dorado","us","circle"
"25039",2003-12-05,"theodosia","us","other"
"17130",2011-11-06,"portland","us","formation"
"42138",2007-04-20,"johnstown","us","other"
"9923",2009-11-13,"phoenix","us","light"
"83251",2011-09-16,"boise","us","light"
"26999",2005-01-03,"charlotte","us","light"
"80772",2011-09-10,"ammon","us","light"
"55762",2008-06-19,"washington","us","oval"
"50989",2011-05-06,"sherbrooke (canada)","ca","triangle"
"52209",NA,"ritter","us","disk"
"44012",2005-04-29,"goldsboro","us","unknown"
"68622",2003-07-04,"ridgeway","us","circle"
"77497",2004-08-27,"west palm beach","us","light"
"32171",2007-02-28,"eastaboga","us","other"
"77066",2007-08-25,"west bend",NA,"triangle"
"66908",2010-07-27,"orem","us","changing"
"45190",2011-04-07,"san antonio","us","circle"
"41428",2014-04-16,"huntsville","us","cross"
"22152",2000-12-23,"three rivers (canada)","ca","egg"
"75333",1999-08-20,"adelaide (south australia)","au","formation"
"24714",2006-01-24,"charlotte","us","light"
"88392",1999-09-08,"denver","us","light"
"69490",2013-07-04,"chicago","us","other"
"59319",2004-06-03,"albuquerque","us","sphere"
"16997",NA,"canada",NA,NA
"69642",2013-07-04,"port charlotte","us","disk"
"70268",1952-07-07,"arlington","us","disk"
"35111",2003-03-15,"holmdel","us","fireball"
"63004",1979-07-15,"ranger","us","triangle"
"66550",2002-07-26,"waldorf","us","unknown"
"82421",2012-09-14,"hewitt","us","unknown"
"42512",2003-04-02,"quezon city (philippines)",NA,"disk"
"39673",2010-04-10,"fargo","us","formation"
"49989",2005-05-30,"bayonne","us","changing"
"10035",1997-11-14,"birch bay","us","other"
"61640",2001-07-01,"chicago","us","sphere"
"738",2000-10-01,"belmont","us","unknown"
"13017",2003-11-21,"morehead","us","unknown"
"24690",NA,"papillion","us","other"
"4486",2007-10-23,"wellington","us","light"
"61732",2008-07-01,"truro (canada)","ca","light"
"63369",2002-07-15,"tillamook (15 miles sw; cape lookout)","us","light"
"16834",2014-01-15,"deleon springs",NA,"circle"
"36218",2014-03-20,"stoke-on-trent (uk/england)","gb","circle"
"3525",2003-10-20,"chicago","us","disk"
"81287",1994-09-01,"tucumcari (on i-40 westbound)","us","triangle"
"7233",NA,"houston",NA,NA
"20266",2000-12-15,"beaver","us","disk"
"66919",2011-07-27,"norwalk","us","light"
"67844",2005-07-31,"lee","us","light"
"78439",2002-08-31,"brighton","us","light"
"33522",2000-03-10,"ephrata","us","other"
"34945",1980-03-15,"concord (north of)","us","other"
"13374",2008-11-02,"belleville","us","triangle"
"82279",2002-09-14,"jacksonville beach","us","triangle"
"70500",2008-07-07,"ontelaunee","us","fireball"
"60713",1968-07-10,"tehran (iran)",NA,"diamond"
"85662",2006-09-24,"manchester (uk/england)","gb","light"
"37235",2012-03-25,"bendigo (victoria) (australia)","au","light"
"14673",2004-11-27,"athens","us","triangle"
"63237",1999-07-15,"reedsville","us","unknown"
"78848",2009-08-03,"anacortes","us","triangle"
"51353",2013-05-08,"boulder","us","egg"
"45790",2010-05-10,"wittmann","us","formation"
"86303",2003-09-27,"ask not to give this out.",NA,"light"
"35472",2013-03-16,"belmont","us","other"
"56145",2012-06-20,"greenville","us","triangle"
"42431",2012-04-21,"paris","us","unknown"
"39284",2010-03-08,"green bay","us","circle"
"78987",2000-08-04,"london (canada)","ca","oval"
"10573",2006-11-15,"hyde park","us","chevron"
"83324",2000-09-17,"opelousas","us","chevron"
"18752",2002-12-10,"mount dora","us","circle"
"62264",2005-07-13,"san antonio","us","circle"
"62895",1973-07-15,"dallas","us","circle"
"76789",2009-08-24,"lafayette","us","circle"
"85869",2004-09-25,"toronto (canada)","ca","circle"
"1979",1980-10-15,"national forest",NA,"cylinder"
"82258",1999-09-14,"vancouver","us","diamond"
"275",2012-10-10,"new york city (bronx)","us","disk"
"28993",2007-02-12,"lynn haven","us","disk"
"39738",1977-04-11,"silver spring","us","disk"
"45908",2006-05-11,"folsom","us","disk"
"61349",1972-07-01,"provo (south of)","us","disk"
"87242",1992-09-03,"wilmington","us","disk"
"30030",2004-02-17,"pittsburgh","us","egg"
"30231",2008-02-18,"titusville","us","egg"
"214",2008-10-10,"seattle","us","light"
"696",1997-10-01,"oakland","us","light"
"9180",2002-11-01,"coralville","us","light"
"20946",2012-12-18,"cooper city","us","light"
"32379",2006-02-03,"china spring",NA,"light"
"41933",2009-04-19,"sun valley","us","light"
"57885",2004-06-27,"broxburn (uk/england)","gb","light"
"88562",2011-09-08,"rockford","us","light"
"9403",2010-01-11,"leatherwood","us","other"
"18776",2005-12-10,"phoenix","us","other"
"19214",2001-12-01,"olathe","us","other"
"32487",2000-02-04,"osceola","us","other"
"21050",2009-12-19,"stanley","us","sphere"
"71195",1999-08-10,"adana (turkey)",NA,"sphere"
"15090",2002-11-29,"saskatoon (canada)","ca","triangle"
"17092",2010-01-16,"great falls","us","triangle"
"40178",2012-04-01,"bennington","us","triangle"
"64869",2005-07-20,"santorini island (greece)",NA,"triangle"
"28438",2011-02-10,"london/s. charleston (between)",NA,"unknown"
"36281",2002-03-21,"spokane","us","unknown"
"13603",2001-11-22,"crown point","us","fireball"
"52030",1957-06-01,"glens falls","us","disk"
"59184",2012-06-30,"quincy","us",NA
"982",2009-10-01,"whitefield","us","light"
"49767",1997-05-29,"hinckley","us","light"
"85311",1965-09-23,"kennewick","us","oval"
"85357",1998-09-23,"kent","us","oval"
"30476",2014-02-19,"bakersfield","us","triangle"
"62925",1975-07-15,"decatur","us","disk"
"13352",2008-01-12,"wapakoneta","us","triangle"
"69392",2012-07-04,"rochester","us","circle"
"56301",2007-06-21,"borrego springs","us","oval"
"62566",2005-07-14,"palm harbor (clearwater)","us","light"
"28473",2014-02-10,"christchurch (uk/england)","gb","other"
"16376",2000-01-15,"st. louis","us","unknown"
"41463",1999-04-17,"los angeles","us","triangle"
"5824",2003-10-29,"bartlett","us","light"
"26359",1999-12-09,"purdy","us","fireball"
"82388",2010-09-14,"marco island",NA,"fireball"
"46048",1976-05-01,"coventry","us","formation"
"6693",2002-10-03,"augusta","us","light"
"64384",2011-07-18,"carthage","us","triangle"
"43350",2009-04-25,"columbia","us","oval"
"64822",2002-07-20,"anaheim","us","teardrop"
"45239",1968-04-08,"walla walla","us","triangle"
"45245",1999-04-08,"glendale","us","triangle"
"63944",1999-07-17,"parma (italy)",NA,"triangle"
"18258",2007-11-09,"bartlett","us","chevron"
"36576",2014-03-02,"jacksonville","us","chevron"
"77686",1994-08-28,"san diego","us","chevron"
"79864",2008-08-07,"beach park","us","cigar"
"48675",2008-05-22,"saltville","us","circle"
"56983",2007-06-23,"new york city","us","circle"
"35533",2002-03-17,"cleveland","us","egg"
"44344",1997-04-03,"melbourne (vic&#44 australia)","au","egg"
"47360",2013-05-15,"captiva","us","fireball"
"34059",2005-03-01,"sumner","us","light"
"68480",1997-07-04,"florissant","us","light"
"34445",1997-03-13,"tempe","us","other"
"60213",2008-06-07,"san luis obispo","us","other"
"40538",2011-04-13,"flowery branch","us","oval"
"1206",2007-10-12,"west los angeles","us","unknown"
"64359",2010-07-18,"tempe","us","unknown"
"13107",2011-11-21,"atherton (australia)","au",NA
"60201",2008-06-07,"annapolis","us","changing"
"42543",2006-04-02,"smithville","us","oval"
"27241",2007-01-04,"round rock","us","changing"
"77197",2013-08-25,"syracuse","us","changing"
"11024",2007-11-16,"delran",NA,"circle"
"11027",2007-11-16,"bangalore (india)",NA,"circle"
"81654",2012-09-01,"victorville","us","circle"
"49268",2001-05-26,"olympia","us","disk"
"62755",1952-07-15,"wilmington","us","disk"
"24502",2011-12-03,"pointplace",NA,"fireball"
"23191",2012-12-27,"riverdale","us","light"
"28939",2002-02-12,"post falls","us","light"
"32304",2012-02-29,"prescott valley","us","light"
"39681",2011-04-10,"stockton","us","light"
"50744",2008-05-05,"everett","us","light"
"55752",2008-06-19,"chicago","us","light"
"75284",1990-08-20,"p&auml;rnu (estonia)",NA,"light"
"77601",2010-08-27,"everett","us","light"
"14523",2008-11-26,"maumelle","us","other"
"32071",2013-02-27,"smithfield","us","other"
"56684",2005-06-22,"centerville","us","other"
"24963",1997-12-05,"clearwater beach","us","oval"
"56744",2009-06-22,"egan","us","oval"
